system:index,apex_date,aspect,detail,elevation,event_id,flood,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
2_2296,2022-10-11,70.71684546339193,Lu tai Da Nang (Dot 1),758,FL_TRN_2022_10_A,0,10,758.496985334903,67.32999787479639,197.61999491602182,306.629994565621,training,15.088353157043457,0.5724365711212158,4,"{""type"":""Point"",""coordinates"":[106.2585673001307,17.41230079842367]}"
2_2304,2022-10-11,90.0,Lu tai Da Nang (Dot 1),4,FL_TRN_2022_10_A,0,40,398.4049909450114,93.92999812401831,177.7699961103499,138.59999633952975,training,0.9442837238311768,0.6301082372665405,4,"{""type"":""Point"",""coordinates"":[105.95237941339178,10.848857672417365]}"
2_2305,2022-10-11,180.0,Lu tai Da Nang (Dot 1),5,FL_TRN_2022_10_A,0,40,517.6139876656234,71.71999828703701,217.81999456509948,131.51999667659402,training,1.390963077545166,0.6617883443832397,4,"{""type"":""Point"",""coordinates"":[105.17635179702343,9.022003789072398]}"
2_2310,2022-10-11,140.91202865399455,Lu tai Da Nang (Dot 1),215,FL_TRN_2022_10_A,0,40,93.59299787133932,0.7800000011920929,40.509999349713326,17.03999960422516,training,2.388505458831787,0.3124437630176544,4,"{""type"":""Point"",""coordinates"":[104.07022568440276,22.591108965514746]}"
2_2315,2022-10-11,225.3903489345333,Lu tai Da Nang (Dot 1),0,FL_TRN_2022_10_A,0,60,596.0799865201116,133.61999692581594,274.169993493706,101.86999800242484,training,0.6603200435638428,0.5708606839179993,1,"{""type"":""Point"",""coordinates"":[106.05371254040585,9.436806094217227]}"
2_2323,2022-10-11,259.4672421660262,Lu tai Da Nang (Dot 1),1048,FL_TRN_2022_10_A,0,10,24.868999551981688,0.7799999862909317,13.029999926686287,6.039999853819609,training,17.22055435180664,0.4498559236526489,4,"{""type"":""Point"",""coordinates"":[103.51321109237715,21.619590348441246]}"
2_2325,2022-10-11,331.6928854018765,Lu tai Da Nang (Dot 1),1147,FL_TRN_2022_10_A,0,30,37.42799937352538,0.5799999833106995,13.059999838471413,14.609999552369118,training,8.367724418640137,0.46504318714141846,4,"{""type"":""Point"",""coordinates"":[102.88044579531928,21.824461691191924]}"
2_2330,2022-10-11,270.0,Lu tai Da Nang (Dot 1),24,FL_TRN_2022_10_A,0,10,427.2929915357381,98.1899987142533,213.27999712899327,109.68999845907092,training,0.9465588927268982,0.5506767630577087,6,"{""type"":""Point"",""coordinates"":[106.32071301877653,11.545722091468836]}"
2_2332,2022-10-11,270.0,Lu tai Da Nang (Dot 1),66,FL_TRN_2022_10_A,0,50,330.5079930704087,43.18999935314059,80.52999851852655,132.7699965070933,training,0.944844663143158,0.529704213142395,4,"{""type"":""Point"",""coordinates"":[107.05847392114775,11.024859790262166]}"
2_2336,2022-10-11,180.0,Lu tai Da Nang (Dot 1),3,FL_TRN_2022_10_A,0,40,442.56898967921734,136.44999690167606,216.49999500624835,118.11999716609716,training,0.9274099469184875,0.5584791898727417,4,"{""type"":""Point"",""coordinates"":[105.19223836700927,10.53048211707406]}"
2_2339,2022-10-11,31.8048753632032,Lu tai Da Nang (Dot 1),421,FL_TRN_2022_10_A,0,30,30.71299970522523,0.6099999807775021,14.509999815374613,7.809999845921993,training,17.447383880615234,0.4461061656475067,4,"{""type"":""Point"",""coordinates"":[103.30979057787464,21.809355775555535]}"
2_2341,2022-10-11,279.28041920613276,Lu tai Da Nang (Dot 1),50,FL_TRN_2022_10_A,0,10,340.5339934658259,64.88999835401773,113.86999760009348,119.65999696217477,training,2.873234748840332,0.5497074127197266,6,"{""type"":""Point"",""coordinates"":[106.80492262094906,11.353120235338956]}"
2_2346,2022-10-11,165.7256118171648,Lu tai Da Nang (Dot 1),4,FL_TRN_2022_10_A,0,80,434.1939895134419,160.01999634504318,240.259994212538,136.1699966751039,training,1.9133654832839966,0.6264132261276245,1,"{""type"":""Point"",""coordinates"":[105.40023219818727,10.69698815986796]}"
2_2352,2022-10-11,248.79496775374082,Lu tai Da Nang (Dot 1),235,FL_TRN_2022_10_A,0,10,433.08099033124745,23.56999950669706,84.00999756716192,174.53999577090144,training,5.114787578582764,0.5237306356430054,4,"{""type"":""Point"",""coordinates"":[107.59434640235183,14.084046824499483]}"
2_2359,2022-10-11,225.52409209823443,Lu tai Da Nang (Dot 1),21,FL_TRN_2022_10_A,0,50,401.15798980742693,84.2399977594614,130.5599965825677,127.23999702371657,training,1.3235992193222046,0.5108075141906738,6,"{""type"":""Point"",""coordinates"":[106.71057406394291,10.92655290494049]}"
2_2366,2022-10-11,256.38986285983566,Lu tai Da Nang (Dot 1),739,FL_TRN_2022_10_A,0,10,427.08298764564097,8.259999828413129,45.26999903470278,365.3899925928563,training,1.969974398612976,0.43803542852401733,6,"{""type"":""Point"",""coordinates"":[107.74516939686794,14.43029810364425]}"
2_2369,2022-10-11,258.76443670950243,Lu tai Da Nang (Dot 1),242,FL_TRN_2022_10_A,0,10,680.977983687073,47.95999844186008,119.91999697871506,182.1199973206967,training,11.733646392822266,0.5595965385437012,4,"{""type"":""Point"",""coordinates"":[106.25541782659813,17.537151328144045]}"
