system:index,apex_date,aspect,detail,elevation,event_id,flood,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
1_676,2015-07-30,1.5011182715776967,Lu lich su Quang Ninh,1353,FL_TRN_2015_07,1,10,145.20999670028687,46.489998925477266,73.95999855548143,180.62999599054456,training,17.524547576904297,0.5748969912528992,4,"{""type"":""Point"",""coordinates"":[108.17089344965846,11.913448267343266]}"
1_713,2015-07-30,347.4915203179721,Lu lich su Quang Ninh,433,FL_TRN_2015_07,1,10,106.25999735482037,1.7899999395012856,47.149998776614666,79.57099853642285,training,24.904390335083008,0.21231716871261597,7,"{""type"":""Point"",""coordinates"":[108.65281376097845,15.005005620072085]}"
1_730,2015-07-30,260.8213073773188,Lu lich su Quang Ninh,107,FL_TRN_2015_07,1,10,125.36999660357833,0.0,28.13999917730689,45.469998927786946,training,14.235831260681152,0.24009846150875092,7,"{""type"":""Point"",""coordinates"":[108.7633303464281,14.187587834801434]}"
1_863,2015-07-30,113.02971225094217,Lu lich su Quang Ninh,327,FL_TRN_2015_07,1,10,140.16999727487564,7.969999840483069,57.31999867036939,196.78299564309418,training,21.459762573242188,0.3537504971027374,4,"{""type"":""Point"",""coordinates"":[107.77436464274514,15.837761577144128]}"
1_886,2015-07-30,154.2963926283168,Lu lich su Quang Ninh,235,FL_TRN_2015_07,1,10,143.5599966775626,11.869999673217535,68.25999826006591,180.6099961232394,training,25.876510620117188,0.35883066058158875,4,"{""type"":""Point"",""coordinates"":[107.89657184453694,15.885339502532608]}"
1_979,2015-07-30,115.99776323821047,Lu lich su Quang Ninh,307,FL_TRN_2015_07,1,10,185.88999705575407,1.7099999468773603,83.3299987912178,37.12899922579527,training,3.1706631183624268,0.33812886476516724,4,"{""type"":""Point"",""coordinates"":[107.92599395715831,12.742809128178346]}"
1_1071,2015-07-30,202.24714995191928,Lu lich su Quang Ninh,953,FL_TRN_2015_07,1,10,116.30999792926013,7.389999909326434,96.0799983292818,50.70099905319512,training,4.997721195220947,0.45180776715278625,4,"{""type"":""Point"",""coordinates"":[108.89642401248096,12.076541968597079]}"
1_1134,2015-07-30,270.0,Lu lich su Quang Ninh,3,FL_TRN_2015_07,1,40,126.28999639861286,9.739999769255519,86.83999782055616,201.5999952442944,training,2.408881187438965,0.20326107740402222,7,"{""type"":""Point"",""coordinates"":[108.2934323627275,15.844011557497607]}"
1_1268,2015-07-30,38.20878939011765,Lu lich su Quang Ninh,185,FL_TRN_2015_07,1,10,111.47999695688486,10.749999780207872,60.21999821998179,231.57899386808276,training,18.77405548095703,0.3257378935813904,4,"{""type"":""Point"",""coordinates"":[108.02608584512338,15.761127093510199]}"
1_1324,2015-07-30,172.39761895505904,Lu lich su Quang Ninh,241,FL_TRN_2015_07,1,10,116.00999758020043,10.379999754950404,72.35999839380383,193.15599518455565,training,17.664636611938477,0.330921471118927,4,"{""type"":""Point"",""coordinates"":[108.08268954927823,16.14790933786396]}"
1_1380,2015-07-30,139.58105039202977,Lu lich su Quang Ninh,696,FL_TRN_2015_07,1,10,257.7699940726161,15.679999765008688,76.77999773062766,52.98699860833585,training,3.649837017059326,0.5546245574951172,4,"{""type"":""Point"",""coordinates"":[107.89408543865088,11.900867684991239]}"
